Chromosome	chromStart	chromEnd	Gene
chr3	14947584	15053600	NR2C2
chr3	45940933	45948353	CXCR6
chr3	46353734	46360928	CCR2
chr3	46370854	46376206	CCR5
chr3	48223347	48225491	CAMP
chr3	49683947	49689501	MST1
chr3	58306247	58324695	RPP14
chr3	87227271	87255548	CHMP2B
chr3	111292719	111665750	CD96
chr3	122055366	122121139	CD86
chr3	189631416	189897279	TP63
chr3	190305701	190322475	CLDN1
chr4	67558728	67607337	STAP1
chr4	73740506	73743716	CXCL8
chr4	73869393	73871242	CXCL1
chr4	76021117	76023497	CXCL10
chr4	77511753	77611834	CXCL13
chr4	102501329	102617302	NFKB1
chr4	102868978	102889242	CISD2
chr4	105145875	105279816	TET2
chr4	109688622	109703583	CASP6
chr4	138164097	138242349	SLC7A11
chr4	152618632	152680165	TMEM154
chr4	153701500	153705699	TLR2
chr4	177309836	177362943	NEIL3
chr4	184387713	184474580	IRF2
chr4	184627696	184649509	CASP3
chr4	186069152	186088069	TLR3
chr5	271621	353856	PDCD6
chr5	1456480	1523977	LPCAT1
chr5	55024253	55034570	GZMK
chr5	55102648	55110252	GZMA
chr5	70968483	71025114	NAIP
chr5	132481609	132490798	IRF1
chr5	139526431	139628433	UBE2D2
chr5	140631728	140633701	CD14
chr5	141620876	141636870	HDAC3
chr5	150846523	150900736	IRGM
chr5	151020438	151028993	GPX3
chr5	157029413	157059119	HAVCR1
chr5	180233143	180292099	MAPK9
chr6	391739	411447	IRF4
chr6	10980759	11044314	ELOVL2
chr6	30102897	30113106	TRIM31
chr6	30489467	30494205	HLA-E
chr6	31575567	31578336	TNF
chr6	32180968	32184324	AGER
chr6	32439842	32445046	HLA-DRA
chr6	32840717	32844703	PSMB8
chr6	33572547	33580293	BAK1
chr6	35794982	35797344	CLPS
chr6	41158506	41163186	TREM2
chr6	42564062	42693504	UBR2
chr6	42915989	42925835	PTCRA
chr6	55753645	55875564	BMP5
chr6	90513573	90587045	MAP3K7
chr6	106086320	106109939	PRDM1
chr6	108559835	108684774	FOXO3
chr6	121435692	121449727	GJA1
chr6	122471917	122726373	PKIB
chr6	133240598	133532120	EYA4
chr6	159034468	159045152	TAGAP
chr7	1082208	1093815	GPER1
chr7	24698353	24758113	DFNA5
chr7	25120091	25125361	CYCS
chr7	30424527	30478784	NOD1
chr7	36389806	36453791	ANLN
chr7	36512949	36724549	AOAH
chr7	55019021	55256620	EGFR
chr7	55436056	55572988	VOPP1
chr7	80369575	80679277	CD36
chr7	94656325	94669695	PEG10
chr7	97852118	97872542	ASNS
chr7	101127089	101139266	SERPINE1
chr7	116524785	116561184	CAV1
chr7	128455849	128458418	HILPDA
chr7	138460334	138589993	TRIM24
chr8	16107878	16567490	MSR1
chr8	17576433	17644071	PDGFRL
chr8	23020133	23069179	TNFRSF10B
chr8	23243637	23262000	CHMP7
chr8	39902275	39928444	IDO1
chr8	42175233	42207724	PLAT
chr8	51319578	51809445	PXDNL
chr8	55879813	56014168	LYN
chr8	81732434	81759515	CHMP4C
chr8	98117297	98159834	POP1
chr8	118923557	118952200	TNFRSF11B
chr8	119557086	119673453	ENPP2
chr8	129748196	129786888	GSDMC
chr8	143553207	143563062	GSDMD
chr8	144291591	144314722	HSF1
chr9	5450503	5470566	CD274
chr9	21967753	21995301	CDKN2A
chr9	32455705	32526324	DDX58
chr9	34689567	34691277	CCL19
chr9	36572862	36677683	MELK
chr9	87725519	87731393	CTSL
chr9	97029679	97039643	CTSV
chr9	111661335	111670246	GNG10
chr9	113150942	113164137	SLC31A2
chr9	117704332	117716871	TLR4
chr9	127785679	127790787	CDK9
chr9	127866480	127877743	AK1
chr9	130713946	130887675	ABL1
chr9	134905890	134917963	FCN1
chr9	136327476	136359605	GPSM1
chr10	48306639	48439360	MAPK8
chr10	52314296	52318042	DKK1
chr10	58385022	58399221	TFAM
chr10	67884669	67918390	SIRT1
chr10	70597348	70602775	PRF1
chr10	72273920	72276036	DDIT4
chr10	87863113	87971930	PTEN
chr10	89327894	89340971	IFIT3
chr10	97865000	98030828	CRTAC1
chr10	102394110	102402529	NFKB2
chr10	113679162	113730907	CASP7
chr10	128096659	128126385	MKI67
chr10	131966455	131982013	BNIP3
chr11	278365	285359	NLRP6
chr11	4384897	4393696	TRIM21
chr11	5232678	5235370	HBD
chr11	7020446	7071308	NLRP14
chr11	34853094	34916499	APIP
chr11	35138870	35232402	CD44
chr11	36487027	36510272	TRAF6
chr11	61959718	61967660	FTH1
chr11	62856102	62888875	SLC3A2
chr11	65180566	65212006	CAPN1
chr11	70203163	70207390	FADD
chr11	94128928	94181972	PANX1
chr11	102347211	102378670	BIRC2
chr11	102520508	102530753	MMP7
chr11	102789920	102798160	MMP1
chr11	104942866	104969436	CASP4
chr11	104994235	105023168	CASP5
chr11	105025443	105035250	CASP1
chr11	113409615	113475691	DRD2
chr11	118304545	118316175	CD3E
chr11	118338954	118342744	CD3D
chr11	119166568	119184016	NLRX1
chr11	126283065	126298845	TIRAP
chr12	752593	911452	WNK1
chr12	4307763	4354593	TIGAR
chr12	6444867	6451718	CD27
chr12	6533927	6538374	GAPDH
chr12	6772512	6778455	LAG3
chr12	7470813	7503893	CD163
chr12	7919230	7936275	SLC2A3
chr12	9594551	9607886	KLRB1
chr12	43758944	43789543	IRAK4
chr12	45215987	45440404	ANO6
chr12	45919131	45992120	SCAF11
chr12	47841537	47943048	VDR
chr12	49791146	49828750	NCKAP5L
chr12	52022832	52059507	NR4A1
chr12	52232520	52252186	KRT7
chr12	76858715	76879060	CSRP2
chr12	104215779	104350305	TXNRD1
chr12	112906777	112933222	OAS1
chr12	121132819	121188032	P2RX7
chr13	25372071	26025851	ATP8A2
chr13	30456704	30617597	HMGB1
chr14	21498133	21511375	METTL3
chr14	24209583	24213869	CHMP4A
chr14	24318349	24335093	ADCY4
chr14	24336021	24340045	RIPK3
chr14	24573522	24576260	CTSG
chr14	24630954	24634267	GZMB
chr14	50719763	50831121	NIN
chr14	74941834	74955784	PGF
chr14	102080738	102139699	HSP90AA1
chr15	60347134	60402883	ANXA2
chr15	65442463	65517704	DPP8
chr15	72199029	72231822	PKM
chr15	88636153	88656483	ISG20
chr15	89608789	89655451	KIF7
chr16	1989660	1994275	SYNGR3
chr16	3065297	3082192	IL32
chr16	3242028	3256627	MEFV
chr16	3539033	3577400	NLRC3
chr16	10877198	10932281	CIITA
chr16	11254405	11256179	SOCS1
chr16	22206282	22288732	EEF2K
chr16	23677656	23690367	PLK1
chr16	23836001	24220611	PRKCB
chr16	25215731	25228940	AQP8
chr16	25236001	25257931	ZKSCAN2
chr16	31201485	31203450	PYCARD
chr16	50693603	50733077	NOD2
chr16	56666731	56668065	MT1G
chr16	56989485	57083531	NLRC5
chr16	67394419	67416833	ZDHHC1
chr16	74671855	74700960	MLKL
chr16	84565594	84618077	COTL1
chr16	85898803	85922609	IRF8
chr17	4669774	4704337	PELP1
chr17	5499427	5619424	NLRP1
chr17	7240014	7242770	GABARAP
chr17	7661779	7687550	TP53
chr17	15944917	15975746	ADORA2B
chr17	27756766	27800499	NOS2
chr17	34285668	34288334	CCL11
chr17	35871491	35880793	CCL5
chr17	39904595	39919854	GSDMB
chr17	39962973	39977766	GSDMA
chr17	40092787	40100725	NR1D1
chr17	40475828	40501597	TNS4
chr17	42313324	42388568	STAT3
chr17	45894382	46028334	MAPT
chr17	63695902	63701172	LIMD2
chr17	64319415	64413776	PECAM1
chr17	68035519	68046842	KPNA2
chr17	79778132	79787983	CBX2
chr17	80991598	81009517	CHMP6
chr18	5392381	5630700	EPB41L3
chr18	12307669	12344320	TUBB6
chr18	58671386	58754477	MALT1
chr18	66501083	66604138	CDH19
chr19	571277	583493	BSG
chr19	851014	856247	ELANE
chr19	1103926	1106791	GPX4
chr19	3777970	3802129	MATK
chr19	4675224	4724673	DPP9
chr19	7636881	7647873	STXBP2
chr19	7958579	8445041	ELAVL1
chr19	8848844	8981342	MUC16
chr19	10391134	10420121	CDC37
chr19	11574660	11579008	ACP5
chr19	14031748	14053216	IL27RA
chr19	14091688	14118084	PRKACA
chr19	14433053	14471867	PKN1
chr19	15235519	15332545	BRD4
chr19	17402939	17405648	BST2
chr19	44905754	44909393	APOE
chr19	44914247	44919349	APOC1
chr19	45001430	45038198	RELB
chr19	46774883	46788594	SLC1A5
chr19	47290023	47322066	C5AR1
chr19	48180770	48255946	CARD8
chr19	48755559	48758330	FGF21
chr19	48954815	48961798	BAX
chr19	48965301	48966878	FTL
chr19	49659569	49665875	IRF3
chr19	50329653	50382982	NR1H2
chr19	51371606	51372715	NKG7
chr19	53793603	53824394	NLRP12
chr19	54953130	55001142	NLRP2
chr19	55708432	55738402	NLRP9
chr19	58551566	58555124	CHMP2A
chr20	362835	397559	TRIB3
chr20	646615	653370	SRXN1
chr20	33811304	33854366	CHMP4B
chr20	41136960	41196801	PLCG1
chr20	44966474	45079959	STK4
chr20	46008908	46016561	MMP9
chr20	50190734	50192689	CEBPB
chr20	56369389	56392337	AURKA
chr20	57603846	57620576	ZBP1
chr21	34669389	34718227	CLIC6
chr22	17178790	17221989	CECR1
chr22	22887780	22896107	IGLL5
chr22	24417879	24442360	ADORA2A
chr22	24952730	25197448	KIAA1671
chr22	35380361	35394214	HMOX1
chr22	35648395	35668409	APOL6
chr22	37225261	37244448	RAC2
chr22	37675608	37679806	LGALS1
chr22	39014363	39033276	APOBEC3D
chr22	50548033	50551023	KLHDC7B
chrX	41333348	41364472	DDX3X
chrX	47582313	47586789	TIMP1
chrX	48801377	48824982	HDAC6
chrX	66021738	66040125	VSIG4
chrX	71107404	71112108	IL2RG
chrX	101349447	101390796	BTK
chrX	101622797	101627843	ARMCX3
chrX	154531391	154547572	G6PD
