Chromosome	chromStart	chromEnd	Gene
chr3	122680618	122730840	PARP14
chr3	125446644	125520197	SNX4
chr3	133745956	133779006	TF
chr3	149162410	149222055	CP
chr3	149517235	149736714	WWTR1
chr3	150741127	150763477	SIAH2
chr3	179148114	179240093	PIK3CA
chr3	181711924	181714436	SOX2
chr3	183919934	184018015	ABCC5
chr3	186842690	186858463	ADIPOQ
chr3	189631416	189897279	TP63
chr3	196027183	196082189	TFRC
chr4	78887127	78939438	PAQR3
chr4	89724099	89838315	SNCA
chr4	102868978	102889242	CISD2
chr4	118685368	118715433	METTL14
chr4	138164097	138242349	SLC7A11
chr4	152321259	152536101	FBXW7
chr4	184755595	184826818	ACSL1
chr5	1253147	1295069	TERT
chr5	38474963	38608354	LIFR
chr5	38937919	39074408	RICTOR
chr5	40759379	40798374	PRKAA1
chr5	50665899	50846522	PARP8
chr5	88717117	88904257	MEF2C
chr5	113513683	113595285	YTHDC2
chr5	115804733	115816954	CDO1
chr5	121851955	121852833	FTMT
chr5	138178719	138187715	KIF20A
chr5	138352596	138437028	KDM3B
chr5	138465490	138469315	EGR1
chr5	179806398	179838078	SQSTM1
chr5	180233143	180292099	MAPK9
chr6	10393186	10419659	TFAP2A
chr6	30184455	30213427	TRIM26
chr6	32968660	32981505	BRD2
chr6	33200445	33204439	SLC39A7
chr6	35342558	35428191	PPARD
chr6	36027677	36111236	MAPK14
chr6	36676460	36687339	CDKN1A
chr6	36968141	36986298	MTCH1
chr6	42963870	42979220	PEX6
chr6	43014103	43021298	KLHDC3
chr6	53267398	53349179	ELOVL5
chr6	53497341	53616970	GCLC
chr6	106184476	106325820	ATG5
chr6	107152557	107459564	PDSS2
chr6	121435692	121449727	GJA1
chr6	135181315	135219173	MYB
chr6	137867188	137883312	TNFAIP3
chr6	143450807	143490010	PEX3
chr6	155395370	155455903	NOX3
chr6	166364919	166383013	MPC1
chr7	5190188	5233826	WIPI2
chr7	22725884	22732002	IL6
chr7	28299321	28825894	CREB5
chr7	53035642	53036924	POM121L12
chr7	55019021	55256620	EGFR
chr7	75899200	75986855	POR
chr7	76302544	76304295	HSPB1
chr7	95583499	95596491	PDK4
chr7	100620416	100642779	TFR2
chr7	107890970	107931730	DLD
chr7	116524785	116561184	CAV1
chr7	128455849	128458418	HILPDA
chr7	140023744	140063721	PARP12
chr7	148807383	148884321	EZH2
chr7	150338317	150341674	RARRES2
chr7	157335381	157417439	DNAJB6
chr8	11842524	11869448	CTSB
chr8	22367249	22434129	SLC39A14
chr8	39902275	39928444	IDO1
chr8	41577187	41625001	GPAT4
chr8	63048553	63086053	TTPA
chr8	76980258	77001044	PEX2
chr8	81478419	81483263	FABP4
chr8	90001405	90052092	DECR1
chr8	97644179	97728770	MTDH
chr8	108443601	108486918	EMC2
chr8	119557086	119673453	ENPP2
chr8	133237171	133302022	NDRG1
chr8	143977153	144012772	PARP10
chr8	144291591	144314722	HSF1
chr8	144789765	144792587	RPL8
chr9	19108375	19149290	PLIN2
chr9	21165637	21166660	IFNA21
chr9	21186694	21228173	IFNA4
chr9	21201469	21202205	IFNA7
chr9	21206181	21207143	IFNA10
chr9	21216373	21217311	IFNA16
chr9	21227243	21228222	IFNA17
chr9	21239002	21239991	IFNA14
chr9	21304326	21305312	IFNA5
chr9	21349835	21351378	IFNA6
chr9	21367424	21368962	IFNA13
chr9	21384254	21385388	IFNA2
chr9	21409147	21410185	IFNA8
chr9	21409169	21441316	IFNA1
chr9	21967753	21995301	CDKN2A
chr9	32384603	32454769	ACO1
chr9	33264879	33282069	CHMP5
chr9	33441154	33447611	AQP3
chr9	35056064	35073249	VCP
chr9	35673856	35681159	CA9
chr9	35732320	35737007	CREB3
chr9	69035259	69100178	FXN
chr9	99104038	99154192	TGFBR1
chr9	110243811	110256640	TXN
chr9	117704332	117716871	TLR4
chr9	125234853	125241330	HSPA5
chr9	125437393	125707234	MAPKAP1
chr9	127731524	127735317	TOR2A
chr9	128149071	128153455	LCN2
chr9	132891348	132944633	TSC1
chr9	133414358	133459402	ADAMTS13
chr9	134030305	134068535	BRD3
chr10	4922564	5135226	AKR1C2
chr10	4963253	5107522	AKR1C1
chr10	5035354	5107686	AKR1C3
chr10	31318495	31529814	ZEB1
chr10	45374176	45446119	ALOX5
chr10	46005088	46030714	NCOA4
chr10	48306639	48439360	MAPK8
chr10	50182778	50248610	ASAH2
chr10	58269058	58289586	CISD1
chr10	58385022	58399221	TFAM
chr10	59788763	59906656	CCDC6
chr10	67884669	67918390	SIRT1
chr10	70098223	70132934	AIFM2
chr10	72367327	72626191	MICU1
chr10	75210154	75231448	VDAC2
chr10	87863113	87971930	PTEN
chr10	94501434	94613905	HELLS
chr10	99396870	99430624	GOT1
chr10	99610522	99620609	SLC25A28
chr10	100347124	100364834	SCD
chr10	123008979	123058311	ACADSB
chr11	215458	236931	SIRT3
chr11	532242	537287	HRAS
chr11	4384897	4393696	TRIM21
chr11	6390431	6394998	SMPD1
chr11	13276652	13387266	ARNTL
chr11	13668670	13732346	FAR1
chr11	35138870	35232402	CD44
chr11	44564427	44620363	CD82
chr11	45929323	46121178	PHF21A
chr11	46617527	46674818	ATG13
chr11	60756953	60776732	MS4A15
chr11	61792980	61867354	FADS2
chr11	61799625	61829318	FADS1
chr11	61959718	61967660	FTH1
chr11	62856102	62888875	SLC3A2
chr11	63985853	64001811	OTUB1
chr11	65597755	65615382	MAP3K11
chr11	65653596	65663094	RELA
chr11	65823022	65862026	CFL1
chr11	78188812	78214711	USP35
chr11	89324356	89498187	NOX4
chr11	94128928	94181972	PANX1
chr11	102110461	102233423	YAP1
chr11	108222484	108369102	ATM
chr12	280129	389454	KDM5A
chr12	3791047	3873448	PARP11
chr12	6844793	6852066	CDCA3
chr12	6946468	6961316	PTPN6
chr12	6976186	7018510	LPCAT3
chr12	10212458	10223130	GABARAPL1
chr12	16347142	16609259	MGST1
chr12	19404045	19720801	AEBP2
chr12	25204789	25250936	KRAS
chr12	45215987	45440404	ANO6
chr12	46183063	46270017	SLC38A1
chr12	47841537	47943048	VDR
chr12	48042898	48106308	SENP1
chr12	49018975	49059774	KMT2D
chr12	49961870	49965681	AQP5
chr12	50979401	51028566	SLC11A2
chr12	51951667	51997078	ACVR1B
chr12	52022832	52059507	NR4A1
chr12	54301202	54351849	COPZ1
chr12	56271699	56300392	CS
chr12	56470944	56488414	GLS2
chr12	64451880	64502108	TBK1
chr12	66135846	66170072	TMBIM4
chr12	68154768	68159747	IFNG
chr12	68808172	68850686	MDM2
chr12	108562582	108569384	ISCU
chr12	118135858	118145584	PEBP1
chr12	120461668	120469793	SRSF9
chr12	121237691	121298308	CAMKK2
chr12	122726076	122730843	HCAR1
chr12	131894651	131923167	ULK1
chr13	24420926	24512810	PARP4
chr13	28003274	28100592	FLT3
chr13	30456704	30617597	HMGB1
chr13	48303751	48481986	RB1
chr14	20343582	20357905	PARP2
chr14	49893092	49897054	ARF6
chr14	54842008	54902852	GCH1
chr14	58408494	58427614	TIMM9
chr14	61695513	61748259	HIF1A
chr14	73537114	73543794	ACOT1
chr14	77320884	77331597	GSTZ1
chr14	92703807	92748702	LGMN
chr14	95533503	95544724	GLRX5
chr14	102922656	102933596	AMN
chr15	40952962	40956519	CHAC1
chr15	41230839	41281890	CHP1
chr15	41557675	41583586	TYRO3
chr15	45092650	45114344	DUOX2
chr15	45129933	45165576	DUOX1
chr15	55826922	55993746	NEDD4
chr15	65234460	65300618	PARP16
chr15	68930525	69062743	NOX5
chr15	72241181	72272999	PARP6
chr15	73994673	74047812	PML
chr15	78437431	78501456	IREB2
chr15	82543201	82648861	CPEB1
chr15	90083045	90102504	IDH2
chr15	90868592	90883458	FURIN
chr15	90929964	90932569	HDDC3
chr16	2204248	2209416	MLST8
chr16	8892094	8964514	USP7
chr16	11254405	11256179	SOCS1
chr16	15949577	16143074	ABCC1
chr16	20899868	20925006	LYRM1
chr16	25215731	25228940	AQP8
chr16	28532708	28539174	NUPR1
chr16	30114105	30123506	MAPK3
chr16	30748270	30761176	PHKG2
chr16	50313487	50368934	BRD7
chr16	56666731	56668065	MT1G
chr16	68737225	68835548	CDH1
chr16	69706996	69726951	NQO1
chr16	72008588	72027664	DHODH
chr16	75566351	75577881	GABARAPL2
chr16	88715343	88785211	PIEZO1
chr16	89613308	89638456	DPEP1
chr16	89644431	89657845	CHMP1A
chr17	4630902	4642294	ALOX15
chr17	4948092	4957131	ENO3
chr17	6996065	7010736	ALOX12
chr17	7661779	7687550	TP53
chr17	7839904	7854796	KDM6B
chr17	8039017	8049134	ALOX15B
chr17	8072636	8087703	ALOX12B
chr17	8095900	8119047	ALOXE3
chr17	17810399	17837002	SREBF1
chr17	19648136	19677598	ALDH3A2
chr17	19770829	19867936	ULK2
chr17	27756766	27800499	NOS2
chr17	34980494	35009743	LIG3
chr17	35574795	35578863	PEX12
chr17	38730235	38735044	CISD3
chr17	40092787	40100725	NR1D1
chr17	42313324	42388568	STAT3
chr17	42810134	42833350	BECN1
chr17	43527844	43579620	ETV4
chr17	45263121	45317040	MAP3K14
chr17	50426158	50474845	ACSF2
chr17	55392613	55421992	MMD
chr17	61865367	61928016	INTS2
chr17	63550461	63594266	DCAF7
chr17	66302636	66810743	PRKCA
chr17	68420948	68457513	WIPI1
chr17	76527356	76551175	CYGB
chr17	80544819	80966371	RPTOR
chr17	80991598	81009517	CHMP6
chr17	81843159	81860694	P4HB
chr18	21704957	21870957	MIB1
chr18	48919853	48950711	SMAD7
chr18	58044367	58401540	NEDD4L
chr19	1103926	1106791	GPX4
chr19	1177558	1228435	STK11
chr19	1259384	1274880	CIRBP
chr19	1407569	1435687	DAZAP1
chr19	4174109	4182604	SIRT6
chr19	5691834	5720572	LONP1
chr19	6210379	6279948	MLLT1
chr19	7958579	8445041	ELAVL1
chr19	10486120	10503741	KEAP1
chr19	10543895	10553418	ATG4D
chr19	15235519	15332545	BRD4
chr19	15615218	15630638	CYP4F8
chr19	16324817	16327874	KLF2
chr19	18374731	18389176	GDF15
chr19	38815422	38832005	ECH1
chr19	38878555	38899862	SIRT2
chr19	39406813	39409412	ZFP36
chr19	40798996	40808433	EGLN2
chr19	41301587	41353911	TGFB1
chr19	43727992	43754990	SMG9
chr19	45379634	45406349	PPP1R13L
chr19	46774883	46788594	SLC1A5
chr19	48755559	48758330	FGF21
chr19	48795062	48811029	BCAT2
chr19	48965301	48966878	FTL
chr19	49869033	49878459	AKT1S1
chr20	17941597	17968980	SNX5
chr20	25294743	25390983	ABHD12
chr20	31637888	31645006	COX4I2
chr20	34280268	34311802	AHCY
chr20	34546854	34560345	MAP1LC3A
chr20	35668055	35699359	NFS1
chr20	37344685	37406050	SRC
chr20	47501902	47656877	NCOA3
chr21	29194071	29630751	BACH1
chr21	43053191	43076943	CBS
chr21	43865186	43986536	AGPAT3
chr22	17734138	17774770	BID
chr22	21754500	21867680	MAPK1
chr22	29603556	29698598	NF2
chr22	35380361	35394214	HMOX1
chr22	38111495	38205690	PLA2G6
chr22	39519695	39522685	ATF4
chr22	41833079	41907308	SREBF2
chr22	44668547	44737681	PRR5
chr22	46150521	46243756	PPARA
chr22	50170731	50180294	PANX2
chr22	50486784	50490648	MIOX
chrX	12975108	12977227	TMSB4X
chrX	15384799	15493564	PIR
chrX	23783173	23786226	SAT1
chrX	37780011	37813461	CYBB
chrX	47232690	47248328	USP11
chrX	47582313	47586789	TIMP1
chrX	48695554	48709012	SUV39H1
chrX	53191321	53225422	KDM5C
chrX	67544032	67730619	AR
chrX	71096197	71103535	FOXO4
chrX	100843324	100874345	NOX1
chrX	103062651	103064240	BEX1
chrX	109624244	109733403	ACSL4
chrX	119236245	119244466	PGRMC1
chrX	120427827	120469365	LAMP2
chrX	123184153	123490915	GRIA3
chrX	154531391	154547572	G6PD
chrY	13703567	13706024	TMSB4Y
